FY,facility_id,facility_name,state,measure_name,err,number_of_discharges,number_of_readmissions,rank_by_err
2021,10001,SOUTHEAST ALABAMA MEDICAL CENTER,AL,READM-30-HIP-KNEE-HRRP,1.1735,258.0,17.0,883.0
2021,10001,SOUTHEAST ALABAMA MEDICAL CENTER,AL,READM-30-CABG-HRRP,1.1868,268.0,41.0,488.0
2021,10001,SOUTHEAST ALABAMA MEDICAL CENTER,AL,READM-30-AMI-HRRP,1.0204,620.0,100.0,665.0
2021,10001,SOUTHEAST ALABAMA MEDICAL CENTER,AL,READM-30-HF-HRRP,1.0702,1107.0,264.0,1315.0
2021,10001,SOUTHEAST ALABAMA MEDICAL CENTER,AL,READM-30-COPD-HRRP,1.056,444.0,92.0,1134.0
2021,10001,SOUTHEAST ALABAMA MEDICAL CENTER,AL,READM-30-PN-HRRP,0.9232,594.0,88.0,261.0
2021,10005,MARSHALL MEDICAL CENTERS,AL,READM-30-COPD-HRRP,0.9562,591.0,97.0,331.0
2021,10005,MARSHALL MEDICAL CENTERS,AL,READM-30-HF-HRRP,1.0267,304.0,66.0,1031.0
2021,10005,MARSHALL MEDICAL CENTERS,AL,READM-30-PN-HRRP,0.9796,625.0,93.0,653.0
2021,10006,NORTH ALABAMA MEDICAL CENTER,AL,READM-30-CABG-HRRP,1.045,130.0,17.0,312.0
2021,10006,NORTH ALABAMA MEDICAL CENTER,AL,READM-30-AMI-HRRP,0.9166,443.0,53.0,157.0
2021,10006,NORTH ALABAMA MEDICAL CENTER,AL,READM-30-HIP-KNEE-HRRP,1.1624,392.0,21.0,865.0
2021,10006,NORTH ALABAMA MEDICAL CENTER,AL,READM-30-PN-HRRP,1.0523,764.0,130.0,1194.0
2021,10006,NORTH ALABAMA MEDICAL CENTER,AL,READM-30-COPD-HRRP,0.9531,565.0,92.0,310.0
2021,10006,NORTH ALABAMA MEDICAL CENTER,AL,READM-30-HF-HRRP,0.863,771.0,130.0,85.0
2021,10007,MIZELL MEMORIAL HOSPITAL,AL,READM-30-PN-HRRP,1.0448,200.0,33.0,1146.0
2021,10007,MIZELL MEMORIAL HOSPITAL,AL,READM-30-HF-HRRP,1.124,83.0,25.0,1532.0
2021,10007,MIZELL MEMORIAL HOSPITAL,AL,READM-30-COPD-HRRP,0.9899,136.0,24.0,595.0
2021,10011,ST. VINCENT'S EAST,AL,READM-30-AMI-HRRP,1.0611,158.0,27.0,896.0
2021,10011,ST. VINCENT'S EAST,AL,READM-30-PN-HRRP,0.9799,391.0,61.0,655.0
2021,10011,ST. VINCENT'S EAST,AL,READM-30-COPD-HRRP,0.9297,260.0,40.0,175.0
2021,10011,ST. VINCENT'S EAST,AL,READM-30-HF-HRRP,0.9291,434.0,82.0,343.0
2021,10011,ST. VINCENT'S EAST,AL,READM-30-CABG-HRRP,1.2155,82.0,19.0,502.0
2021,10012,DEKALB REGIONAL MEDICAL CENTER,AL,READM-30-PN-HRRP,0.9623,380.0,52.0,514.0
2021,10012,DEKALB REGIONAL MEDICAL CENTER,AL,READM-30-COPD-HRRP,1.0069,176.0,29.0,741.0
2021,10012,DEKALB REGIONAL MEDICAL CENTER,AL,READM-30-AMI-HRRP,1.0634,84.0,16.0,911.0
2021,10012,DEKALB REGIONAL MEDICAL CENTER,AL,READM-30-HF-HRRP,1.0652,176.0,41.0,1287.0
2021,10016,SHELBY BAPTIST MEDICAL CENTER,AL,READM-30-COPD-HRRP,1.0063,217.0,42.0,737.0
2021,10016,SHELBY BAPTIST MEDICAL CENTER,AL,READM-30-AMI-HRRP,0.9052,179.0,20.0,127.0
2021,10016,SHELBY BAPTIST MEDICAL CENTER,AL,READM-30-PN-HRRP,1.0528,359.0,64.0,1198.0
2021,10016,SHELBY BAPTIST MEDICAL CENTER,AL,READM-30-HF-HRRP,0.9727,329.0,71.0,629.0
2021,10019,HELEN KELLER HOSPITAL,AL,READM-30-COPD-HRRP,1.0663,419.0,81.0,1191.0
2021,10019,HELEN KELLER HOSPITAL,AL,READM-30-PN-HRRP,0.9689,397.0,55.0,569.0
2021,10019,HELEN KELLER HOSPITAL,AL,READM-30-HF-HRRP,0.9281,375.0,67.0,335.0
2021,10019,HELEN KELLER HOSPITAL,AL,READM-30-HIP-KNEE-HRRP,1.1959,398.0,21.0,910.0
2021,10021,DALE MEDICAL CENTER,AL,READM-30-COPD-HRRP,0.9481,98.0,12.0,277.0
2021,10021,DALE MEDICAL CENTER,AL,READM-30-PN-HRRP,0.9938,97.0,14.0,759.0
2021,10021,DALE MEDICAL CENTER,AL,READM-30-HF-HRRP,1.0011,80.0,17.0,841.0
2021,10023,BAPTIST MEDICAL CENTER SOUTH,AL,READM-30-AMI-HRRP,1.0627,331.0,62.0,907.0
2021,10023,BAPTIST MEDICAL CENTER SOUTH,AL,READM-30-HIP-KNEE-HRRP,0.9461,547.0,20.0,363.0
2021,10023,BAPTIST MEDICAL CENTER SOUTH,AL,READM-30-HF-HRRP,0.9656,577.0,122.0,580.0
2021,10023,BAPTIST MEDICAL CENTER SOUTH,AL,READM-30-COPD-HRRP,1.0529,231.0,58.0,1116.0
2021,10023,BAPTIST MEDICAL CENTER SOUTH,AL,READM-30-PN-HRRP,1.0365,216.0,41.0,1089.0
2021,10024,JACKSON HOSPITAL & CLINIC INC,AL,READM-30-CABG-HRRP,1.13,159.0,26.0,446.0
2021,10024,JACKSON HOSPITAL & CLINIC INC,AL,READM-30-AMI-HRRP,1.1027,249.0,49.0,1074.0
2021,10024,JACKSON HOSPITAL & CLINIC INC,AL,READM-30-HF-HRRP,1.1512,511.0,136.0,1602.0
2021,10024,JACKSON HOSPITAL & CLINIC INC,AL,READM-30-COPD-HRRP,1.0003,314.0,60.0,684.0
2021,10024,JACKSON HOSPITAL & CLINIC INC,AL,READM-30-PN-HRRP,1.0908,435.0,86.0,1413.0
2021,10029,EAST ALABAMA MEDICAL CENTER AND SNF,AL,READM-30-HIP-KNEE-HRRP,1.2778,679.0,39.0,1008.0
2021,10029,EAST ALABAMA MEDICAL CENTER AND SNF,AL,READM-30-COPD-HRRP,0.9645,470.0,85.0,391.0
2021,10029,EAST ALABAMA MEDICAL CENTER AND SNF,AL,READM-30-AMI-HRRP,0.9787,249.0,35.0,438.0
2021,10029,EAST ALABAMA MEDICAL CENTER AND SNF,AL,READM-30-HF-HRRP,1.0423,705.0,156.0,1140.0
2021,10029,EAST ALABAMA MEDICAL CENTER AND SNF,AL,READM-30-PN-HRRP,0.9749,484.0,74.0,617.0
2021,10033,UNIVERSITY OF ALABAMA HOSPITAL,AL,READM-30-AMI-HRRP,0.9955,362.0,63.0,529.0
2021,10033,UNIVERSITY OF ALABAMA HOSPITAL,AL,READM-30-HIP-KNEE-HRRP,1.1877,184.0,12.0,903.0
2021,10033,UNIVERSITY OF ALABAMA HOSPITAL,AL,READM-30-HF-HRRP,1.0758,930.0,230.0,1344.0
2021,10033,UNIVERSITY OF ALABAMA HOSPITAL,AL,READM-30-COPD-HRRP,0.9835,271.0,52.0,540.0
2021,10033,UNIVERSITY OF ALABAMA HOSPITAL,AL,READM-30-CABG-HRRP,1.1316,296.0,52.0,450.0
2021,10033,UNIVERSITY OF ALABAMA HOSPITAL,AL,READM-30-PN-HRRP,1.0727,571.0,113.0,1324.0
2021,10034,COMMUNITY HOSPITAL INC,AL,READM-30-HF-HRRP,0.9846,83.0,15.0,715.0
2021,10035,CULLMAN REGIONAL MEDICAL CENTER,AL,READM-30-PN-HRRP,1.1131,549.0,102.0,1501.0
2021,10035,CULLMAN REGIONAL MEDICAL CENTER,AL,READM-30-AMI-HRRP,1.0264,116.0,19.0,705.0
2021,10035,CULLMAN REGIONAL MEDICAL CENTER,AL,READM-30-HF-HRRP,1.0564,638.0,139.0,1240.0
2021,10035,CULLMAN REGIONAL MEDICAL CENTER,AL,READM-30-COPD-HRRP,1.0669,332.0,67.0,1195.0
2021,10036,ANDALUSIA HEALTH,AL,READM-30-COPD-HRRP,1.0114,258.0,52.0,784.0
2021,10036,ANDALUSIA HEALTH,AL,READM-30-HF-HRRP,0.9556,267.0,53.0,505.0
2021,10036,ANDALUSIA HEALTH,AL,READM-30-PN-HRRP,0.9691,270.0,39.0,570.0
2021,10038,STRINGFELLOW MEMORIAL HOSPITAL,AL,READM-30-COPD-HRRP,0.909,255.0,32.0,77.0
2021,10038,STRINGFELLOW MEMORIAL HOSPITAL,AL,READM-30-HF-HRRP,1.0931,124.0,34.0,1425.0
2021,10038,STRINGFELLOW MEMORIAL HOSPITAL,AL,READM-30-PN-HRRP,0.9638,121.0,15.0,526.0
2021,10039,HUNTSVILLE HOSPITAL,AL,READM-30-CABG-HRRP,0.9478,461.0,53.0,158.0
2021,10039,HUNTSVILLE HOSPITAL,AL,READM-30-AMI-HRRP,0.9256,1147.0,149.0,195.0
2021,10039,HUNTSVILLE HOSPITAL,AL,READM-30-COPD-HRRP,1.098,1334.0,290.0,1319.0
2021,10039,HUNTSVILLE HOSPITAL,AL,READM-30-PN-HRRP,1.0685,1678.0,298.0,1300.0
2021,10039,HUNTSVILLE HOSPITAL,AL,READM-30-HIP-KNEE-HRRP,1.1987,1544.0,74.0,918.0
2021,10039,HUNTSVILLE HOSPITAL,AL,READM-30-HF-HRRP,0.9887,1800.0,387.0,747.0
2021,10040,GADSDEN REGIONAL MEDICAL CENTER,AL,READM-30-AMI-HRRP,1.0978,241.0,49.0,1060.0
2021,10040,GADSDEN REGIONAL MEDICAL CENTER,AL,READM-30-CABG-HRRP,0.9767,108.0,14.0,198.0
2021,10040,GADSDEN REGIONAL MEDICAL CENTER,AL,READM-30-COPD-HRRP,1.0499,395.0,89.0,1096.0
2021,10040,GADSDEN REGIONAL MEDICAL CENTER,AL,READM-30-HF-HRRP,1.1439,428.0,127.0,1587.0
2021,10040,GADSDEN REGIONAL MEDICAL CENTER,AL,READM-30-HIP-KNEE-HRRP,1.1188,444.0,24.0,785.0
2021,10040,GADSDEN REGIONAL MEDICAL CENTER,AL,READM-30-PN-HRRP,1.0505,582.0,112.0,1181.0
2021,10044,MARION REGIONAL MEDICAL CENTER,AL,READM-30-COPD-HRRP,0.9815,129.0,20.0,524.0
2021,10044,MARION REGIONAL MEDICAL CENTER,AL,READM-30-PN-HRRP,0.9593,179.0,21.0,494.0
2021,10045,FAYETTE MEDICAL CENTER,AL,READM-30-COPD-HRRP,0.9977,109.0,20.0,658.0
2021,10045,FAYETTE MEDICAL CENTER,AL,READM-30-PN-HRRP,0.96,101.0,13.0,500.0
2021,10046,RIVERVIEW REGIONAL MEDICAL CENTER,AL,READM-30-COPD-HRRP,1.0408,278.0,61.0,1023.0
2021,10046,RIVERVIEW REGIONAL MEDICAL CENTER,AL,READM-30-AMI-HRRP,1.1085,78.0,20.0,1089.0
2021,10046,RIVERVIEW REGIONAL MEDICAL CENTER,AL,READM-30-HF-HRRP,1.0623,376.0,98.0,1271.0
2021,10046,RIVERVIEW REGIONAL MEDICAL CENTER,AL,READM-30-PN-HRRP,1.1588,394.0,93.0,1602.0
2021,10049,MEDICAL CENTER ENTERPRISE,AL,READM-30-PN-HRRP,1.0114,151.0,22.0,894.0
2021,10049,MEDICAL CENTER ENTERPRISE,AL,READM-30-COPD-HRRP,0.9372,170.0,21.0,215.0
2021,10049,MEDICAL CENTER ENTERPRISE,AL,READM-30-HF-HRRP,1.0643,115.0,29.0,1283.0
2021,10052,LAKE MARTIN COMMUNITY HOSPITAL,AL,READM-30-PN-HRRP,1.0033,100.0,16.0,835.0
2021,10052,LAKE MARTIN COMMUNITY HOSPITAL,AL,READM-30-COPD-HRRP,1.0283,72.0,18.0,924.0
2021,10055,FLOWERS HOSPITAL,AL,READM-30-HIP-KNEE-HRRP,1.1033,555.0,25.0,749.0
2021,10055,FLOWERS HOSPITAL,AL,READM-30-COPD-HRRP,1.0496,388.0,81.0,1093.0
2021,10055,FLOWERS HOSPITAL,AL,READM-30-AMI-HRRP,0.8552,319.0,30.0,32.0
2021,10055,FLOWERS HOSPITAL,AL,READM-30-HF-HRRP,0.9799,546.0,111.0,680.0
2021,10055,FLOWERS HOSPITAL,AL,READM-30-PN-HRRP,1.0014,531.0,82.0,819.0
2021,10056,ST VINCENT'S BIRMINGHAM,AL,READM-30-COPD-HRRP,0.9815,306.0,56.0,524.0
2021,10056,ST VINCENT'S BIRMINGHAM,AL,READM-30-HF-HRRP,0.9354,466.0,87.0,380.0
2021,10056,ST VINCENT'S BIRMINGHAM,AL,READM-30-PN-HRRP,1.0024,594.0,94.0,826.0
2021,10056,ST VINCENT'S BIRMINGHAM,AL,READM-30-AMI-HRRP,0.9942,233.0,36.0,525.0
2021,10056,ST VINCENT'S BIRMINGHAM,AL,READM-30-HIP-KNEE-HRRP,1.0877,1611.0,64.0,709.0
2021,10056,ST VINCENT'S BIRMINGHAM,AL,READM-30-CABG-HRRP,1.1132,102.0,17.0,422.0
2021,10058,BIBB MEDICAL CENTER,AL,READM-30-PN-HRRP,1.0106,75.0,13.0,886.0
2021,10059,LAWRENCE MEDICAL CENTER,AL,READM-30-COPD-HRRP,1.0821,75.0,22.0,1266.0
2021,10059,LAWRENCE MEDICAL CENTER,AL,READM-30-PN-HRRP,0.9869,81.0,14.0,708.0
2021,10061,HIGHLANDS MEDICAL CENTER,AL,READM-30-COPD-HRRP,0.9465,241.0,36.0,265.0
2021,10061,HIGHLANDS MEDICAL CENTER,AL,READM-30-HF-HRRP,0.9121,104.0,13.0,249.0
2021,10061,HIGHLANDS MEDICAL CENTER,AL,READM-30-PN-HRRP,0.982,152.0,22.0,671.0
2021,10062,WIREGRASS MEDICAL CENTER,AL,READM-30-PN-HRRP,0.9979,130.0,19.0,787.0
2021,10062,WIREGRASS MEDICAL CENTER,AL,READM-30-COPD-HRRP,0.9847,79.0,13.0,549.0
2021,10065,RUSSELL MEDICAL CENTER,AL,READM-30-HF-HRRP,1.038,233.0,54.0,1114.0
2021,10065,RUSSELL MEDICAL CENTER,AL,READM-30-PN-HRRP,0.9935,235.0,37.0,758.0
2021,10065,RUSSELL MEDICAL CENTER,AL,READM-30-COPD-HRRP,0.9896,163.0,31.0,592.0
2021,10069,MEDICAL CENTER BARBOUR,AL,READM-30-PN-HRRP,1.0534,102.0,19.0,1203.0
2021,10069,MEDICAL CENTER BARBOUR,AL,READM-30-HF-HRRP,1.017,69.0,16.0,962.0
2021,10069,MEDICAL CENTER BARBOUR,AL,READM-30-COPD-HRRP,1.0347,66.0,14.0,979.0
2021,10078,NORTHEAST ALABAMA REGIONAL MEDICAL CENTER,AL,READM-30-PN-HRRP,0.9557,432.0,64.0,468.0
2021,10078,NORTHEAST ALABAMA REGIONAL MEDICAL CENTER,AL,READM-30-AMI-HRRP,0.9491,352.0,52.0,279.0
2021,10078,NORTHEAST ALABAMA REGIONAL MEDICAL CENTER,AL,READM-30-HIP-KNEE-HRRP,1.3095,311.0,21.0,1033.0
2021,10078,NORTHEAST ALABAMA REGIONAL MEDICAL CENTER,AL,READM-30-COPD-HRRP,1.067,536.0,110.0,1196.0
2021,10078,NORTHEAST ALABAMA REGIONAL MEDICAL CENTER,AL,READM-30-HF-HRRP,1.0085,497.0,108.0,897.0
2021,10079,ATHENS LIMESTONE HOSPITAL,AL,READM-30-COPD-HRRP,0.9424,218.0,31.0,246.0
2021,10079,ATHENS LIMESTONE HOSPITAL,AL,READM-30-HF-HRRP,1.0977,199.0,52.0,1443.0
2021,10079,ATHENS LIMESTONE HOSPITAL,AL,READM-30-PN-HRRP,0.9263,239.0,29.0,283.0
2021,10083,SOUTH BALDWIN REGIONAL MEDICAL CENTER,AL,READM-30-HF-HRRP,1.1672,333.0,97.0,1628.0
2021,10083,SOUTH BALDWIN REGIONAL MEDICAL CENTER,AL,READM-30-PN-HRRP,0.9837,419.0,63.0,686.0
2021,10083,SOUTH BALDWIN REGIONAL MEDICAL CENTER,AL,READM-30-COPD-HRRP,0.9784,282.0,51.0,499.0
