facility_id,facility_name,state,measure_name,start_date,end_date,FY
10005,MARSHALL MEDICAL CENTERS,AL,READM-30-AMI-HRRP,2016-07-01,2019-06-30,2021
10005,MARSHALL MEDICAL CENTERS,AL,READM-30-CABG-HRRP,2016-07-01,2019-06-30,2021
10005,MARSHALL MEDICAL CENTERS,AL,READM-30-HIP-KNEE-HRRP,2016-07-01,2019-06-30,2021
10007,MIZELL MEMORIAL HOSPITAL,AL,READM-30-CABG-HRRP,2016-07-01,2019-06-30,2021
10007,MIZELL MEMORIAL HOSPITAL,AL,READM-30-AMI-HRRP,2016-07-01,2019-06-30,2021
10007,MIZELL MEMORIAL HOSPITAL,AL,READM-30-HIP-KNEE-HRRP,2016-07-01,2019-06-30,2021
10008,CRENSHAW COMMUNITY HOSPITAL,AL,READM-30-HIP-KNEE-HRRP,2016-07-01,2019-06-30,2021
10008,CRENSHAW COMMUNITY HOSPITAL,AL,READM-30-AMI-HRRP,2016-07-01,2019-06-30,2021
10008,CRENSHAW COMMUNITY HOSPITAL,AL,READM-30-HF-HRRP,2016-07-01,2019-06-30,2021
10008,CRENSHAW COMMUNITY HOSPITAL,AL,READM-30-PN-HRRP,2016-07-01,2019-06-30,2021
10008,CRENSHAW COMMUNITY HOSPITAL,AL,READM-30-CABG-HRRP,2016-07-01,2019-06-30,2021
10008,CRENSHAW COMMUNITY HOSPITAL,AL,READM-30-COPD-HRRP,2016-07-01,2019-06-30,2021
10011,ST. VINCENT'S EAST,AL,READM-30-HIP-KNEE-HRRP,2016-07-01,2019-06-30,2021
10012,DEKALB REGIONAL MEDICAL CENTER,AL,READM-30-HIP-KNEE-HRRP,2016-07-01,2019-06-30,2021
10012,DEKALB REGIONAL MEDICAL CENTER,AL,READM-30-CABG-HRRP,2016-07-01,2019-06-30,2021
10016,SHELBY BAPTIST MEDICAL CENTER,AL,READM-30-CABG-HRRP,2016-07-01,2019-06-30,2021
10016,SHELBY BAPTIST MEDICAL CENTER,AL,READM-30-HIP-KNEE-HRRP,2016-07-01,2019-06-30,2021
10018,CALLAHAN EYE HOSPITAL,AL,READM-30-COPD-HRRP,2016-07-01,2019-06-30,2021
10018,CALLAHAN EYE HOSPITAL,AL,READM-30-CABG-HRRP,2016-07-01,2019-06-30,2021
10018,CALLAHAN EYE HOSPITAL,AL,READM-30-HF-HRRP,2016-07-01,2019-06-30,2021
10018,CALLAHAN EYE HOSPITAL,AL,READM-30-HIP-KNEE-HRRP,2016-07-01,2019-06-30,2021
10018,CALLAHAN EYE HOSPITAL,AL,READM-30-PN-HRRP,2016-07-01,2019-06-30,2021
10018,CALLAHAN EYE HOSPITAL,AL,READM-30-AMI-HRRP,2016-07-01,2019-06-30,2021
