FY,measure_name,suppressed_rows,kept_rows,total_rows,pct_suppressed
2021,READM-30-AMI-HRRP,1618,1586,3204,0.5049937578027466
2021,READM-30-CABG-HRRP,2634,570,3204,0.8220973782771536
2021,READM-30-COPD-HRRP,723,2481,3204,0.22565543071161048
2021,READM-30-HF-HRRP,594,2610,3204,0.1853932584269663
2021,READM-30-HIP-KNEE-HRRP,2005,1199,3204,0.6257802746566792
2021,READM-30-PN-HRRP,547,2657,3204,0.17072409488139825
2022,READM-30-AMI-HRRP,1750,1420,3170,0.5520504731861199
2022,READM-30-CABG-HRRP,2705,465,3170,0.8533123028391167
2022,READM-30-COPD-HRRP,910,2260,3170,0.2870662460567823
2022,READM-30-HF-HRRP,680,2490,3170,0.21451104100946372
2022,READM-30-HIP-KNEE-HRRP,2207,963,3170,0.6962145110410095
2022,READM-30-PN-HRRP,648,2522,3170,0.20441640378548895
2023,READM-30-AMI-HRRP,1851,1314,3165,0.5848341232227489
2023,READM-30-CABG-HRRP,2754,411,3165,0.8701421800947867
2023,READM-30-COPD-HRRP,1220,1945,3165,0.3854660347551343
2023,READM-30-HF-HRRP,746,2419,3165,0.23570300157977883
2023,READM-30-HIP-KNEE-HRRP,2495,670,3165,0.7883096366508688
2023,READM-30-PN-HRRP,782,2383,3165,0.24707740916271723
2024,READM-30-AMI-HRRP,1949,1180,3129,0.6228827101310322
2024,READM-30-CABG-HRRP,2800,329,3129,0.8948545861297539
2024,READM-30-COPD-HRRP,1616,1513,3129,0.5164589325663151
2024,READM-30-HF-HRRP,824,2305,3129,0.26334292106104185
2024,READM-30-HIP-KNEE-HRRP,2779,350,3129,0.8881431767337807
2024,READM-30-PN-HRRP,916,2213,3129,0.2927452860338766
2025,READM-30-AMI-HRRP,1841,1244,3085,0.5967585089141005
2025,READM-30-CABG-HRRP,2702,383,3085,0.8758508914100486
2025,READM-30-COPD-HRRP,1535,1550,3085,0.49756888168557534
2025,READM-30-HF-HRRP,743,2342,3085,0.2408427876823339
2025,READM-30-HIP-KNEE-HRRP,2788,297,3085,0.9037277147487844
2025,READM-30-PN-HRRP,780,2305,3085,0.25283630470016205
