facility_name,facility_id,state,measurename,numberofdischarges,footnote,excessreadmissionratio,predictedreadmissionrate,expectedreadmissionrate,numberofreadmissions,start_date,end_date
SOUTHEAST HEALTH MEDICAL CENTER,10001,AL,READM-30-HIP-KNEE-HRRP,165.0,nan,1.2312,5.5952,4.5446,13.0,2017-07-01,2019-12-01
SOUTHEAST HEALTH MEDICAL CENTER,10001,AL,READM-30-CABG-HRRP,193.0,nan,1.0797,12.6285,11.6966,26.0,2017-07-01,2019-12-01
SOUTHEAST HEALTH MEDICAL CENTER,10001,AL,READM-30-AMI-HRRP,424.0,nan,1.0301,15.8637,15.4001,69.0,2017-07-01,2019-12-01
SOUTHEAST HEALTH MEDICAL CENTER,10001,AL,READM-30-HF-HRRP,905.0,nan,1.0399,23.0257,22.1413,211.0,2017-07-01,2019-12-01
SOUTHEAST HEALTH MEDICAL CENTER,10001,AL,READM-30-COPD-HRRP,310.0,nan,1.0616,20.2278,19.0535,68.0,2017-07-01,2019-12-01
SOUTHEAST HEALTH MEDICAL CENTER,10001,AL,READM-30-PN-HRRP,504.0,nan,0.9655,16.77,17.3685,82.0,2017-07-01,2019-12-01
MARSHALL MEDICAL CENTERS,10005,AL,READM-30-COPD-HRRP,378.0,nan,0.9254,16.5585,17.8926,56.0,2017-07-01,2019-12-01
MARSHALL MEDICAL CENTERS,10005,AL,READM-30-AMI-HRRP,,nan,0.9548,15.9301,16.6839,,2017-07-01,2019-12-01
MARSHALL MEDICAL CENTERS,10005,AL,READM-30-HF-HRRP,223.0,nan,1.0461,21.1149,20.1846,50.0,2017-07-01,2019-12-01
MARSHALL MEDICAL CENTERS,10005,AL,READM-30-CABG-HRRP,,5.0,,,,,2017-07-01,2019-12-01
MARSHALL MEDICAL CENTERS,10005,AL,READM-30-PN-HRRP,468.0,nan,0.9657,15.0488,15.5833,68.0,2017-07-01,2019-12-01
MARSHALL MEDICAL CENTERS,10005,AL,READM-30-HIP-KNEE-HRRP,,nan,0.9779,4.4054,4.5052,,2017-07-01,2019-12-01
NORTH ALABAMA MEDICAL CENTER,10006,AL,READM-30-CABG-HRRP,120.0,nan,1.1063,13.1992,11.9304,18.0,2017-07-01,2019-12-01
NORTH ALABAMA MEDICAL CENTER,10006,AL,READM-30-AMI-HRRP,363.0,nan,0.9614,13.2883,13.8219,46.0,2017-07-01,2019-12-01
NORTH ALABAMA MEDICAL CENTER,10006,AL,READM-30-HIP-KNEE-HRRP,306.0,nan,1.2138,4.7501,3.9135,18.0,2017-07-01,2019-12-01
NORTH ALABAMA MEDICAL CENTER,10006,AL,READM-30-PN-HRRP,663.0,nan,1.1136,17.6938,15.8889,125.0,2017-07-01,2019-12-01
NORTH ALABAMA MEDICAL CENTER,10006,AL,READM-30-COPD-HRRP,381.0,nan,0.9316,16.8183,18.0527,58.0,2017-07-01,2019-12-01
NORTH ALABAMA MEDICAL CENTER,10006,AL,READM-30-HF-HRRP,615.0,nan,0.8945,18.7277,20.9371,108.0,2017-07-01,2019-12-01
MIZELL MEMORIAL HOSPITAL,10007,AL,READM-30-CABG-HRRP,,5.0,,,,,2017-07-01,2019-12-01
MIZELL MEMORIAL HOSPITAL,10007,AL,READM-30-AMI-HRRP,,1.0,,,,,2017-07-01,2019-12-01
MIZELL MEMORIAL HOSPITAL,10007,AL,READM-30-HIP-KNEE-HRRP,,1.0,,,,,2017-07-01,2019-12-01
MIZELL MEMORIAL HOSPITAL,10007,AL,READM-30-PN-HRRP,147.0,nan,1.0244,14.5171,14.1711,23.0,2017-07-01,2019-12-01
MIZELL MEMORIAL HOSPITAL,10007,AL,READM-30-HF-HRRP,70.0,nan,1.0595,20.4042,19.2576,18.0,2017-07-01,2019-12-01
MIZELL MEMORIAL HOSPITAL,10007,AL,READM-30-COPD-HRRP,103.0,nan,1.0106,18.5305,18.3367,20.0,2017-07-01,2019-12-01
CRENSHAW COMMUNITY HOSPITAL,10008,AL,READM-30-HIP-KNEE-HRRP,,5.0,,,,,2017-07-01,2019-12-01
CRENSHAW COMMUNITY HOSPITAL,10008,AL,READM-30-AMI-HRRP,,1.0,,,,,2017-07-01,2019-12-01
CRENSHAW COMMUNITY HOSPITAL,10008,AL,READM-30-HF-HRRP,,1.0,,,,,2017-07-01,2019-12-01
CRENSHAW COMMUNITY HOSPITAL,10008,AL,READM-30-PN-HRRP,,nan,0.9742,14.5736,14.9597,,2017-07-01,2019-12-01
CRENSHAW COMMUNITY HOSPITAL,10008,AL,READM-30-CABG-HRRP,,5.0,,,,,2017-07-01,2019-12-01
CRENSHAW COMMUNITY HOSPITAL,10008,AL,READM-30-COPD-HRRP,,nan,0.9878,16.1897,16.3903,,2017-07-01,2019-12-01
ST. VINCENT'S EAST,10011,AL,READM-30-AMI-HRRP,126.0,nan,1.0996,14.7277,13.3937,24.0,2017-07-01,2019-12-01
ST. VINCENT'S EAST,10011,AL,READM-30-HIP-KNEE-HRRP,,nan,1.0568,4.6882,4.4363,,2017-07-01,2019-12-01
ST. VINCENT'S EAST,10011,AL,READM-30-PN-HRRP,350.0,nan,0.9809,16.3934,16.7131,56.0,2017-07-01,2019-12-01
ST. VINCENT'S EAST,10011,AL,READM-30-COPD-HRRP,167.0,nan,0.9879,18.6047,18.8326,30.0,2017-07-01,2019-12-01
ST. VINCENT'S EAST,10011,AL,READM-30-HF-HRRP,351.0,nan,1.006,21.2552,21.1277,75.0,2017-07-01,2019-12-01
ST. VINCENT'S EAST,10011,AL,READM-30-CABG-HRRP,64.0,nan,1.2271,16.3463,13.3206,15.0,2017-07-01,2019-12-01
DEKALB REGIONAL MEDICAL CENTER,10012,AL,READM-30-PN-HRRP,301.0,nan,0.9665,14.0665,14.5539,40.0,2017-07-01,2019-12-01
DEKALB REGIONAL MEDICAL CENTER,10012,AL,READM-30-COPD-HRRP,108.0,nan,1.0173,16.2601,15.9836,19.0,2017-07-01,2019-12-01
DEKALB REGIONAL MEDICAL CENTER,10012,AL,READM-30-HIP-KNEE-HRRP,,nan,0.9475,3.2643,3.4453,,2017-07-01,2019-12-01
