facility_name,facility_id,state,measure_name,number_of_discharges,footnote,excess_readmission_ratio,predicted_readmission_rate,expected_readmission_rate,number_of_readmissions,start_date,end_date
SOUTHEAST HEALTH MEDICAL CENTER,10001,AL,READM-30-HIP-KNEE-HRRP,,nan,0.8916,3.5325,3.9618,,2019-07-01,2022-06-30
SOUTHEAST HEALTH MEDICAL CENTER,10001,AL,READM-30-HF-HRRP,616.0,nan,1.1003,23.1263,21.0184,149.0,2019-07-01,2022-06-30
SOUTHEAST HEALTH MEDICAL CENTER,10001,AL,READM-30-AMI-HRRP,274.0,nan,0.9332,12.9044,13.8283,32.0,2019-07-01,2022-06-30
SOUTHEAST HEALTH MEDICAL CENTER,10001,AL,READM-30-PN-HRRP,404.0,nan,0.9871,17.0529,17.2762,68.0,2019-07-01,2022-06-30
SOUTHEAST HEALTH MEDICAL CENTER,10001,AL,READM-30-CABG-HRRP,126.0,nan,0.9517,9.8131,10.3112,11.0,2019-07-01,2022-06-30
SOUTHEAST HEALTH MEDICAL CENTER,10001,AL,READM-30-COPD-HRRP,117.0,nan,0.9803,18.1837,18.5483,20.0,2019-07-01,2022-06-30
MARSHALL MEDICAL CENTERS,10005,AL,READM-30-AMI-HRRP,,1.0,,,,,2019-07-01,2022-06-30
MARSHALL MEDICAL CENTERS,10005,AL,READM-30-COPD-HRRP,137.0,nan,0.8784,16.2476,18.4967,14.0,2019-07-01,2022-06-30
MARSHALL MEDICAL CENTERS,10005,AL,READM-30-PN-HRRP,285.0,nan,0.9497,15.2494,16.0567,40.0,2019-07-01,2022-06-30
MARSHALL MEDICAL CENTERS,10005,AL,READM-30-HF-HRRP,129.0,nan,0.9885,19.1975,19.4209,24.0,2019-07-01,2022-06-30
MARSHALL MEDICAL CENTERS,10005,AL,READM-30-HIP-KNEE-HRRP,,nan,0.7977,3.7634,4.7181,,2019-07-01,2022-06-30
MARSHALL MEDICAL CENTERS,10005,AL,READM-30-CABG-HRRP,,5.0,,,,,2019-07-01,2022-06-30
NORTH ALABAMA MEDICAL CENTER,10006,AL,READM-30-HIP-KNEE-HRRP,,nan,1.2468,5.5173,4.4251,,2019-07-01,2022-06-30
NORTH ALABAMA MEDICAL CENTER,10006,AL,READM-30-COPD-HRRP,158.0,nan,0.9165,16.8035,18.3353,21.0,2019-07-01,2022-06-30
NORTH ALABAMA MEDICAL CENTER,10006,AL,READM-30-CABG-HRRP,89.0,nan,1.133,12.8249,11.3197,15.0,2019-07-01,2022-06-30
NORTH ALABAMA MEDICAL CENTER,10006,AL,READM-30-HF-HRRP,441.0,nan,0.9629,19.3905,20.138,83.0,2019-07-01,2022-06-30
NORTH ALABAMA MEDICAL CENTER,10006,AL,READM-30-AMI-HRRP,273.0,nan,1.0472,12.3815,11.8232,36.0,2019-07-01,2022-06-30
NORTH ALABAMA MEDICAL CENTER,10006,AL,READM-30-PN-HRRP,472.0,nan,0.9731,16.2835,16.734,75.0,2019-07-01,2022-06-30
MIZELL MEMORIAL HOSPITAL,10007,AL,READM-30-HF-HRRP,,nan,1.0385,20.908,20.1338,,2019-07-01,2022-06-30
